ID,material,sp_group_symbol,sp_group_number,nelements,z_max,a,b,c,alpha,beta,gamma,Nsites,hform,magnetization,stability-class,magnetic-class
mp-1184878,K3Cu,Pm-3m,221,2,29,5.813225,5.813225,5.813225,90.0,90.0,90.0,4,338.9267527499999,3.88476007402622e-05,0,0
mp-865759,YbHfRh2,Fm-3m,225,3,72,6.50157762,6.50157762,6.50157762,90.0,90.0,90.0,16,-806.19525,2.7653960417309804e-08,1,0
mp-20736,Ce,P6_3/mmc,194,1,58,3.1635053,3.1635053000000006,5.86615312,90.0,90.0,120.0,2,81.4134600000002,0.0090130414770598,0,1
mp-1217229,Ti(Si3Mo)2,C222,21,3,42,4.711956,8.089904,6.487054,90.0,90.0,90.0,18,-457.1908925925925,2.620492362857073e-07,1,0
mp-567750,ScRu2,P6_3/mmc,194,2,44,5.1008202,5.1008202,8.63020803,90.0,90.0,120.0,12,-390.0598016666663,9.770609685647812e-09,1,0
mp-866833,CaSnS3,P6_3/mmc,194,3,50,6.71131425,6.71131425,6.351312,90.0,90.0,120.0,10,-998.7399458750004,1.3558160295505587e-06,1,0
mp-1188665,TlO2,Pnnm,58,2,81,3.487469,4.841922,17.490851,90.0,90.0,90.0,18,-571.870629166667,0.0203250520980765,1,1
mp-1186975,Sc3Te,P6_3/mmc,194,2,52,6.36170008,6.361700080000001,5.104363,90.0,90.0,120.0,8,-528.3866254166662,0.0012590471350122,1,0
mp-1039142,Ca3Mg,P-6m2,187,2,20,3.81574243,3.81574243,11.979622,90.0,90.0,120.0,4,40.1943700000002,0.0002714184271409,0,0
mp-867224,CaNdCd2,Fm-3m,225,3,60,7.65480944,7.65480944,7.65480944,90.0,90.0,90.0,16,-363.654484375,2.4969788934301875e-08,1,0
mp-27388,Ba(SiNi)2,Cmcm,63,3,56,5.34666413,6.45296101,11.49768502,90.0,90.0,90.0,20,-527.5972619999998,1.0083414966127511e-09,1,0
mp-631358,SrTa2Mn,Fm-3m,225,3,73,6.68789,6.68789,6.68789,90.0,90.0,90.0,16,1133.031733850575,0.0067465718747562,0,0
mp-1187650,Tm2ZnIn,Fm-3m,225,3,69,7.2082229,7.2082229,7.2082229,90.0,90.0,90.0,16,-382.7456933333333,8.885844194451588e-07,1,0
mp-1223907,Hg2SeS,P-4m2,115,3,80,4.29014456,4.29014456,6.05910221,90.0,90.0,90.0,4,-407.3436188671873,8.967014431389812e-10,1,0
NOVA-1941,Fe12Si2,I4/mmm,139,2,26,2.83119,2.83119,19.45441,90.0,90.0,90.0,14,-132.3074,0.148,1,1
mp-30867,ScRu,Pm-3m,221,2,44,3.1985335,3.1985335,3.1985335,90.0,90.0,90.0,2,-543.0755124999997,6.111914702413188e-09,1,0
mp-1261,EuZn,Pm-3m,221,2,63,3.74119892,3.74119892,3.74119892,90.0,90.0,90.0,2,-273.24903500000096,0.1375855674879632,1,1
